symbol,name,exchange,yahoo_symbol,kite_symbol,upstox_instrument_key,sector,industry,base_price,enabled
20MICRONS,20 MICRONS LTD,NSE,20MICRONS.NS,NSE:20MICRONS,NSE_EQ|INE144J01027,,,100.0,1
21STCENMGM,21ST CENTURY MGMT SERVICE,NSE,21STCENMGM.NS,NSE:21STCENMGM,NSE_EQ|INE253B01015,,,100.0,1
360ONE,360 ONE WAM LIMITED,NSE,360ONE.NS,NSE:360ONE,NSE_EQ|INE466L01038,,,100.0,1
3BBLACKBIO,3B BLACKBIO DX LTD.,NSE,3BBLACKBIO.NS,NSE:3BBLACKBIO,NSE_EQ|INE994E01018,,,100.0,1
3IINFOLTD,3I INFOTECH LIMITED,NSE,3IINFOLTD.NS,NSE:3IINFOLTD,NSE_EQ|INE748C01038,,,100.0,1
3MINDIA,3M INDIA LIMITED,NSE,3MINDIA.NS,NSE:3MINDIA,NSE_EQ|INE470A01017,,,100.0,1
3PLAND,3P LAND HOLDINGS LIMITED,NSE,3PLAND.NS,NSE:3PLAND,NSE_EQ|INE105C01023,,,100.0,1
5PAISA,5PAISA CAPITAL LIMITED,NSE,5PAISA.NS,NSE:5PAISA,NSE_EQ|INE618L01018,,,100.0,1
63MOONS,63 MOONS TECHNOLOGIES LTD,NSE,63MOONS.NS,NSE:63MOONS,NSE_EQ|INE111B01023,,,100.0,1
A2ZINFRA,A2Z INFRA ENGINEERING LTD,NSE,A2ZINFRA.NS,NSE:A2ZINFRA,NSE_EQ|INE619I01012,,,100.0,1
AAATECH,AAA TECHNOLOGIES LIMITED,NSE,AAATECH.NS,NSE:AAATECH,NSE_EQ|INE0D0U01013,,,100.0,1
AADHARHFC,AADHAR HOUSING FINANCE L,NSE,AADHARHFC.NS,NSE:AADHARHFC,NSE_EQ|INE883F01010,,,100.0,1
AAKASH,AAKASH EXPLORATION SER L,NSE,AAKASH.NS,NSE:AAKASH,NSE_EQ|INE087Z01024,,,100.0,1
AAREYDRUGS,AAREY DRUGS & PHARM LTD,NSE,AAREYDRUGS.NS,NSE:AAREYDRUGS,NSE_EQ|INE198H01019,,,100.0,1
AARNAV,AARNAV FASHIONS LIMITED,NSE,AARNAV.NS,NSE:AARNAV,NSE_EQ|INE750R01016,,,100.0,1
AARON,AARON INDUSTRIES LIMITED,NSE,AARON.NS,NSE:AARON,NSE_EQ|INE721Z01010,,,100.0,1
AARTECH,AARTECH SOLONICS LIMITED,NSE,AARTECH.NS,NSE:AARTECH,NSE_EQ|INE01C001026,,,100.0,1
AARTIDRUGS,AARTI DRUGS LTD.,NSE,AARTIDRUGS.NS,NSE:AARTIDRUGS,NSE_EQ|INE767A01016,,,100.0,1
AARTIIND,AARTI INDUSTRIES LTD,NSE,AARTIIND.NS,NSE:AARTIIND,NSE_EQ|INE769A01020,,,100.0,1
AARTIPHARM,AARTI PHARMALABS LIMITED,NSE,AARTIPHARM.NS,NSE:AARTIPHARM,NSE_EQ|INE0LRU01027,,,100.0,1
AARTISURF,AARTI SURFACTANTS LIMITED,NSE,AARTISURF.NS,NSE:AARTISURF,NSE_EQ|INE09EO01013,,,100.0,1
AARVI,AARVI ENCON LIMITED,NSE,AARVI.NS,NSE:AARVI,NSE_EQ|INE754X01016,,,100.0,1
AAVAS,AAVAS FINANCIERS LIMITED,NSE,AAVAS.NS,NSE:AAVAS,NSE_EQ|INE216P01012,,,100.0,1
ABANSENT,ABANS ENTERPRISES LTD.,NSE,ABANSENT.NS,NSE:ABANSENT,NSE_EQ|INE365O01028,,,100.0,1
ABB,ABB INDIA LIMITED,NSE,ABB.NS,NSE:ABB,NSE_EQ|INE117A01022,,,100.0,1
ABBOTINDIA,ABBOTT INDIA LIMITED,NSE,ABBOTINDIA.NS,NSE:ABBOTINDIA,NSE_EQ|INE358A01014,,,100.0,1
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,NSE,ABCAPITAL.NS,NSE:ABCAPITAL,NSE_EQ|INE674K01013,,,100.0,1
ABCOTS,A B COTSPIN INDIA LIMITED,NSE,ABCOTS.NS,NSE:ABCOTS,NSE_EQ|INE08PH01015,,,100.0,1
ABDL,ALLIED BLEND N DISTILS L,NSE,ABDL.NS,NSE:ABDL,NSE_EQ|INE552Z01027,,,100.0,1
ABFRL,ADITYA BIRLA FASHION & RT,NSE,ABFRL.NS,NSE:ABFRL,NSE_EQ|INE647O01011,,,100.0,1
ABGSEC,BIRLASLAMC - ABGSEC,NSE,ABGSEC.NS,NSE:ABGSEC,NSE_EQ|INF209KC1134,,,100.0,1
ABINFRA,A B INFRABUILD LIMITED,NSE,ABINFRA.NS,NSE:ABINFRA,NSE_EQ|INE00YB01025,,,100.0,1
ABLBL,ADITYA BIRLA LIFES BRAN L,NSE,ABLBL.NS,NSE:ABLBL,NSE_EQ|INE14LE01019,,,100.0,1
ABMINTLLTD,ABM INTERNATIONAL LTD,NSE,ABMINTLLTD.NS,NSE:ABMINTLLTD,NSE_EQ|INE251C01025,,,100.0,1
ABMKNO,A B M KNOWLEDGEWARE LTD.,NSE,ABMKNO.NS,NSE:ABMKNO,NSE_EQ|INE850B01026,,,100.0,1
ABREL,ADITYA BIRLA REAL EST LTD,NSE,ABREL.NS,NSE:ABREL,NSE_EQ|INE055A01016,,,100.0,1
ABSL10BANK,BIRLASLAMC - ABSL10BANK,NSE,ABSL10BANK.NS,NSE:ABSL10BANK,NSE_EQ|INF209KC1670,,,100.0,1
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,NSE,ABSLAMC.NS,NSE:ABSLAMC,NSE_EQ|INE404A01024,,,100.0,1
ABSLBANETF,BIRLASLAMC - ABSLBANETF,NSE,ABSLBANETF.NS,NSE:ABSLBANETF,NSE_EQ|INF209KB17D5,,,100.0,1
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,NSE,ABSLLIQUID.NS,NSE:ABSLLIQUID,NSE_EQ|INF209KB18T9,,,100.0,1
ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,NSE,ABSLMSCIN.NS,NSE:ABSLMSCIN,NSE_EQ|INF209KC1662,,,100.0,1
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,NSE,ABSLNN50ET.NS,NSE:ABSLNN50ET,NSE_EQ|INF209KB16D7,,,100.0,1
ABSLPSE,BIRLASLAMC-ABSLPSE,NSE,ABSLPSE.NS,NSE:ABSLPSE,NSE_EQ|INF209KB19Z4,,,100.0,1
ACC,ACC LIMITED,NSE,ACC.NS,NSE:ACC,NSE_EQ|INE012A01025,,,100.0,1
ACCELYA,ACCELYA SOLN INDIA LTD,NSE,ACCELYA.NS,NSE:ACCELYA,NSE_EQ|INE793A01012,,,100.0,1
ACCURACY,ACCURACY SHIPPING LIMITED,NSE,ACCURACY.NS,NSE:ACCURACY,NSE_EQ|INE648Z01023,,,100.0,1
ACE,ACTION CONST EQUIP LTD,NSE,ACE.NS,NSE:ACE,NSE_EQ|INE731H01025,,,100.0,1
ACEINTEG,ACE INTEGRATED SOLU. LTD.,NSE,ACEINTEG.NS,NSE:ACEINTEG,NSE_EQ|INE543V01017,,,100.0,1
