symbol,name,exchange,yahoo_symbol,kite_symbol,upstox_instrument_key,sector,industry,base_price,enabled
ACCS,ACCESS Newswire Inc. Common Stock,AMEX,ACCS,,,US Equity,US Listed Equity,100,1
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",AMEX,AEF,,,US Equity,US Listed Equity,100,1
AEON,"AEON Biopharma, Inc. Class A Common Stock",AMEX,AEON,,,US Equity,US Listed Equity,100,1
AGIG,Abundia Global Impact Group Inc. Common stock,AMEX,AGIG,,,US Equity,US Listed Equity,100,1
AIB,"BlockchAIn Digital Infrastructure, Inc Common Shares",AMEX,AIB,,,US Equity,US Listed Equity,100,1
AIM,AIM ImmunoTech Inc. Common Stock,AMEX,AIM,,,US Equity,US Listed Equity,100,1
AIRI,Air Industries Group Common Stock,AMEX,AIRI,,,US Equity,US Listed Equity,100,1
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),AMEX,AMBO,,,US Equity,US Listed Equity,100,1
AMS,American Shared Hospital Services Common Stock,AMEX,AMS,,,US Equity,US Listed Equity,100,1
AMZE,"Amaze Holdings, Inc. Common Stock",AMEX,AMZE,,,US Equity,US Listed Equity,100,1
APT,"Alpha Pro Tech, Ltd. Common Stock",AMEX,APT,,,US Equity,US Listed Equity,100,1
APUS,"Apimeds Pharmaceuticals US, Inc. Common Stock",AMEX,APUS,,,US Equity,US Listed Equity,100,1
AREN,"The Arena Group Holdings, Inc. Common Stock",AMEX,AREN,,,US Equity,US Listed Equity,100,1
ARMP,"Armata Pharmaceuticals, Inc. Common Stock",AMEX,ARMP,,,US Equity,US Listed Equity,100,1
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),AMEX,ASM,,,US Equity,US Listed Equity,100,1
ATCH,"AtlasClear Holdings, Inc. Common Stock",AMEX,ATCH,,,US Equity,US Listed Equity,100,1
ATNM,"Actinium Pharmaceuticals, Inc. (Delaware) Common Stock",AMEX,ATNM,,,US Equity,US Listed Equity,100,1
AUST,Austin Gold Corp. Common Shares,AMEX,AUST,,,US Equity,US Listed Equity,100,1
AWX,Avalon Holdings Corporation Common Stock,AMEX,AWX,,,US Equity,US Listed Equity,100,1
AXIL,"AXIL Brands, Inc. Common Stock",AMEX,AXIL,,,US Equity,US Listed Equity,100,1
AZTR,Azitra Inc Common Stock,AMEX,AZTR,,,US Equity,US Listed Equity,100,1
BATL,Battalion Oil Corporation Common Stock,AMEX,BATL,,,US Equity,US Listed Equity,100,1
BCHT,Birchtech Corp. Common Stock,AMEX,BCHT,,,US Equity,US Listed Equity,100,1
BCV,"Bancroft Fund, Ltd.",AMEX,BCV,,,US Equity,US Listed Equity,100,1
BDL,"Flanigan's Enterprises, Inc. Common Stock",AMEX,BDL,,,US Equity,US Listed Equity,100,1
BESS,Bimergen Energy Corporation Common Stock,AMEX,BESS,,,US Equity,US Listed Equity,100,1
BGI,Birks Group Inc. Common Stock,AMEX,BGI,,,US Equity,US Listed Equity,100,1
BHB,"Bar Harbor Bankshares, Inc. Common Stock",AMEX,BHB,,,US Equity,US Listed Equity,100,1
BHM,"Bluerock Homes Trust, Inc. Class A Common Stock",AMEX,BHM,,,US Equity,US Listed Equity,100,1
BKTI,BK Technologies Corporation Common Stock,AMEX,BKTI,,,US Equity,US Listed Equity,100,1
